,Player,Team,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
0,Stephen Curry,GSW,"$40,231,758","$43,006,362","$45,780,966",,,,Bird Rights,"$129,019,086"
1,Chris Paul,OKC,"$38,506,482","$41,358,814","$44,211,146",,,,Bird Rights,"$79,865,296"
2,Russell Westbrook,HOU,"$38,178,000","$41,006,000","$43,848,000","$46,662,000",,,Bird Rights,"$123,032,000"
3,John Wall,WAS,"$37,800,000","$40,824,000","$43,848,000","$46,872,000",,,Bird Rights,"$122,472,000"
4,James Harden,HOU,"$37,800,000","$40,824,000","$43,848,000","$46,872,000",,,Bird Rights,"$122,472,000"
5,LeBron James,LAL,"$37,436,858","$39,219,565","$41,002,273",,,,Cap Space,"$76,656,423"
6,Kevin Durant,BRK,"$37,199,000","$39,058,950","$40,918,900","$42,778,850",,,Sign and Trade,"$117,176,850"
7,Blake Griffin,DET,"$34,234,964","$36,595,996","$38,957,028",,,,Bird Rights,"$70,830,960"
8,Kyle Lowry,TOR,"$33,296,296","$30,000,000",,,,,Bird Rights,"$63,296,296"
9,Paul George,LAC,"$33,005,556","$35,450,412","$37,895,268",,,,Maximum Salary,"$68,455,968"
10,Klay Thompson,GSW,"$32,742,000","$35,361,360","$37,980,720","$40,600,080","$43,219,440",,Bird Rights,"$189,903,600"
11,Jimmy Butler,MIA,"$32,742,000","$34,379,100","$36,016,200","$37,653,300",,,Sign and Trade,"$103,137,300"
12,Kemba Walker,BOS,"$32,742,000","$34,379,100","$36,016,200","$37,653,300",,,Sign and Trade,"$103,137,300"
13,Kawhi Leonard,LAC,"$32,742,000","$34,379,100","$36,016,200",,,,Cap Space,"$67,121,100"
14,Gordon Hayward,BOS,"$32,700,690","$34,187,085",,,,,Cap space,"$32,700,690"
15,Mike Conley,UTA,"$32,511,623","$34,504,132",,,,,Cap Space,"$54,938,006"
16,Kyrie Irving,BRK,"$31,742,000","$33,329,100","$34,916,200","$36,503,300",,,Cap space,"$136,490,600"
17,Tobias Harris,PHI,"$31,034,483","$33,517,241","$36,000,000","$38,482,759","$40,965,517",,Bird Rights,"$180,000,000"
18,Khris Middleton,MIL,"$30,603,448","$33,051,724","$35,500,000","$37,948,276","$40,396,552",,Bird Rights,"$137,103,448"
19,Paul Millsap,DEN,"$30,500,000",,,,,,Cap space,"$30,500,000"
20,,,,,,,,,,
21,,,,,,,,,,
22,Damian Lillard,POR,"$29,802,321","$31,626,953","$43,750,000","$47,250,000","$50,750,000","$54,250,000",1st Round Pick,"$257,429,274"
23,Kevin Love,CLE,"$28,900,000","$31,300,000","$31,300,000","$28,900,000",,,Bird Rights,"$120,400,000"
24,Nikola VuÄçeviÄ‡,ORL,"$28,000,000","$26,000,000","$24,000,000","$22,000,000",,,Bird Rights,"$100,000,000"
25,Al Horford,PHI,"$28,000,000","$27,500,000","$27,000,000","$26,500,000",,,Cap Space,"$97,000,000"
26,DeMar DeRozan,SAS,"$27,739,975","$27,739,975",,,,,Cap Space,"$27,739,975"
27,CJ McCollum,POR,"$27,556,959","$29,354,152","$30,864,198","$33,333,333","$35,802,469",,1st Round Pick,"$156,911,111"
28,Joel Embiid,PHI,"$27,504,630","$29,542,010","$31,579,390","$33,616,770",,,1st Round Pick,"$122,242,800"
29,Andrew Wiggins,GSW,"$27,504,630","$29,542,010","$31,579,390","$33,616,770",,,1st Round Pick,"$122,242,800"
30,Kristaps PorziÅ†Ä£is,DAL,"$27,285,000","$29,467,800","$31,650,600","$33,833,400","$36,016,200",,Bird Rights,"$122,236,800"
31,D'Angelo Russell,MIN,"$27,285,000","$28,649,250","$30,013,500","$31,377,750",,,Sign and Trade,"$117,325,500"
32,Otto Porter,CHI,"$27,250,576","$28,489,239",,,,,Bird Rights,"$27,250,576"
33,Devin Booker,PHO,"$27,250,000","$29,430,000","$31,610,000","$33,790,000","$35,970,000",,1st round pick,"$158,050,000"
34,Karl-Anthony Towns,MIN,"$27,250,000","$29,430,000","$31,610,000","$33,790,000","$35,970,000",,1st Round Pick,"$155,870,000"
35,Bradley Beal,WAS,"$27,093,019","$28,751,775","$34,502,130","$37,262,300",,,Cap Space,"$90,346,924"
36,Anthony Davis,LAL,"$27,093,019","$28,751,775",,,,,1st Round Pick,"$27,093,019"
37,Andre Drummond,CLE,"$27,093,019","$28,751,775",,,,,Cap Space,"$27,093,019"
38,Hassan Whiteside,POR,"$27,093,018",,,,,,Cap Space,"$27,093,018"
39,Nikola JokiÄ‡,DEN,"$26,573,595","$28,542,009","$30,510,423","$32,478,837",,,Bird Rights,"$118,104,864"
40,Jrue Holiday,NOP,"$26,131,111","$26,131,111","$27,020,000",,,,Bird Rights,"$52,262,222"
41,LaMarcus Aldridge,SAS,"$26,000,000","$24,000,000",,,,,Cap Space,"$50,000,000"
42,,,,,,,,,,
43,,,,,,,,,,
44,Steven Adams,OKC,"$25,842,697","$27,528,090",,,,,1st Round Pick,"$53,370,787"
45,Giannis Antetokounmpo,MIL,"$25,842,697","$27,528,090",,,,,1st Round Pick,"$53,370,787"
46,Marc Gasol,TOR,"$25,595,700",,,,,,Bird Rights,"$25,595,700"
47,Nicolas Batum,CHO,"$25,565,217","$27,130,434",,,,,Cap Space,"$25,565,217"
48,Chandler Parsons,ATL,"$25,102,511",,,,,,,"$25,102,511"
49,Rudy Gobert,UTA,"$25,008,427","$26,525,281",,,,,1st Round Pick,"$51,533,708"
50,Harrison Barnes,SAC,"$24,147,727","$22,215,909","$20,284,091","$18,352,273",,,Bird Rights,"$85,000,000"
51,Serge Ibaka,TOR,"$23,271,604",,,,,,Cap space,"$23,271,604"
52,Danilo Gallinari,OKC,"$22,615,559",,,,,,Sign and Trade,"$22,615,559"
53,Victor Oladipo,IND,"$21,000,000","$21,000,000",,,,,1st Round Pick,"$42,000,000"
54,Malcolm Brogdon,IND,"$20,000,000","$20,700,000","$21,700,000","$22,600,000",,,Sign and Trade,"$85,000,000"
55,Terry Rozier,CHO,"$19,894,737","$18,900,000","$17,905,263",,,,Sign and Trade,"$56,700,000"
56,Aaron Gordon,ORL,"$19,863,636","$18,136,364","$16,409,091",,,,Bird Rights,"$54,409,091"
57,Zach LaVine,CHI,"$19,500,000","$19,500,000","$19,500,000",,,,Cap space,"$58,500,000"
58,Kent Bazemore,SAC,"$19,269,662",,,,,,Cap Space,"$19,269,662"
59,Tyler Johnson,PHO,"$19,245,370",,,,,,,"$19,245,370"
60,Goran DragiÄ‡,MIA,"$19,217,900",,,,,,Bird Rights,"$19,217,900"
61,Jeff Teague,ATL,"$19,000,000",,,,,,Cap space,"$19,000,000"
62,Evan Turner,MIN,"$18,606,557",,,,,,Cap Space,"$18,606,557"
63,Draymond Green,GSW,"$18,539,130","$22,246,956","$24,026,712","$25,806,469","$27,586,225",,Bird Rights,"$90,619,267"
64,,,,,,,,,,
65,,,,,,,,,,
66,Tristan Thompson,CLE,"$18,539,130",,,,,,Bird Rights,"$18,539,130"
